Question,Choice1,Choice2,Choice3,Choice4,Answer
What is 101 in decimal?,2,3,4,5,3
What is the Algorithmic Complexity of Merge Sort?,nlogn,n squared,n,n cubed,0
What is 5th number in the Fibonacci sequence?,2,4,5,3,3
What does Amdal's Law describe?,AI,Parallelism,Development Time,Functions,1
What is the correct version of the rule about development time?,60 60 rule,80 80 rule,90 90 rule,30 30 rule,2
Who is the best teacher?,Wrong Answer,Joyce,Wrong Answer,Wrong Answer,1
What is the best term for unsupervised clustering?,KNN,K-Means,Merge Sort,Grouping,1
Who is the founder of Github?,Jeff Bezos,Elon Musk,Mark Zuckerburg,Tom Preston-Werner,0
How can you list the current directory in Shell?,cd,rm,mv,ls,3
What does IDE stand for?,Integrated Data Exception,Integer Data Error,Integrated Drive Electronics,Interactive Data Example,2
